www.google.com/search?q=train+test+split&rlz=1C1GCEJ_enGB847GB847&oq=train+test+split&aqs=chrome..69i57j0l5.2575j0j4&sourceid=chrome&ie=UTF-8,0,0.2564102564102564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.11666666666666667,0,0,0,0,1,0,0,0,0,0.3,0.0,0,0.16666666666666666,0.5,0.0
mawtoload.com,0,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.26666666666666666,1,0,0,0,0,0,0,0,0,0.4444444444444445,0.0,0,0.1111111111111111,0.2222222222222222,0.0
x1337x.ws,0,0.1282051282051282,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0.5,0,0,0.5,0,0,0,0.16666666666666669,1,0,0,0,0,0,0,0,1,0.0,0.6666666666666666,0,0.5,0.0,0.6666666666666666
aa.com,0,0.05128205128205128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0.03333333333333333,1,0,0,0,0,0,1,0,0,1.0,0.0,0,0.25,0.0,0.0
amdaws.com,0,0.15384615384615385,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,1,1,1,0,0.16666666666666669,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0,0.08333333333333333,0.6666666666666666,0.0
9k9k.com,0,0.10256410256410257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.5,0,1,0,0.1,1,0,0,0,0,0,0,0,1,0.0,0.5,0,0.5,0.0,0.0
mkvcinemas.cz,0,0.23076923076923078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0.5,0,1,0,0.3,1,0,0,0,0,0,0,0,0,0.3,0.0,0,0.05,0.4,0.0
english.stackexchange.com/questions/407810/will-be-not-or-will-not-be,0,0.5384615384615385,0,0,0,1,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0.28571428571428575,0.0,1,0.175,0.6666666666666666,0.0
cio360.net,0,0.15384615384615385,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0.16666666666666669,1,0,0,0,0,0,0,0,1,0.3333333333333333,0.5,0,0.0,0.0,0.5
premiumbeat.com,0,0.28205128205128205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.5,0,0,0,0,0,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0.4545454545454546,0.0,0,0.09090909090909091,0.36363636363636365,0.0
